id,city,county,Address,Latitude and longitude,name,abbreviation,Group_name,capacity,soybean_meal_demand,soybean_meal_origin,delivery_channel,freight_per_ton
ytw-1,南宁市,隆安县,广西南宁市隆安县那桐镇富侨大道32号,"107.889031, 23.094920",南宁海大生物科技有限公司,南宁海大,广东海大集团股份有限公司全资子公司,4.3,,,,
ytw-2,南宁市,隆安县,广西隆安县那桐镇国营浪湾华侨农场侨兴路7号,"107.894606, 23.056801",广西大富华农牧饲料有限公司,大富华,福建傲农生物科技集团股份有限公司旗下,0.6,,,,
ytw-3,南宁市,隆安县,南宁市隆安县那桐镇定江村长江屯99号,"107.857457, 23.020184",隆安县漓源金陵饲料有限责任公司,隆安漓源,南宁漓源粮油饲料有限公司控股（力源集团间接控股）,4,,,,
ytw-4,南宁市,隆安县,南宁市隆安县那桐镇富华路1号,"107.887875, 23.062052",南宁百昌源饲料有限公司,百昌源,同一地址关联两家企业，均为独立法人,,,,,
ytw-5,南宁市,隆安县,广西南宁市隆安县那桐镇华侨管理区侨兴路9号,"107.898422, 23.068176",隆安新天地饲料有限公司,隆安新天地,承租隆安县扬翔饲料有限公司房屋，扬翔股份旗下,1.6,,,,
ytw-6,南宁市,隆安县,广西隆安县那桐镇富侨大道66号,"107.889867, 23.086191",南宁通威生物科技有限公司,通威,通威股份有限公司旗下全资子公司,0.9,,,,
ytw-7,南宁市,隆安县,隆安县那桐浪湾农场经济开发区侨兴路8号,"107.886129, 23.060166",广西隆安德创饲料有限责任公司,德创,独立法人，品牌包括德创牌、桂金牌、满江牌,0.3,,,,
ytw-8,南宁市,隆安县,南宁市隆安县那桐镇富侨大道34号,"107.894606, 23.056801",广西桂柳牧桂美牧业有限公司,桂柳,注册地址为研发综合楼，实际生产地址与傲农饲料相近,0.7,,,,
ytw-9,南宁市,隆安县,广西南宁市隆安县那桐镇侨友路8号,"107.893687, 23.054976",南宁傲农饲料有限公司,傲农,扬翔股份旗下，承租方为南宁秀博农牧科技有限公司,0.3,,,,
ytw-10,南宁市,隆安县,隆安县那桐镇国营浪湾华侨农场高压走廊9号,"107.894606, 23.056801",隆安县扬翔饲料有限公司,隆安扬翔,桥兴路与侨兴路为同一区域，注册地址指向同一企业,0.9,,,,
ytw-11,南宁市,隆安县,广西隆安县那桐镇华侨管理区桥兴路8号,"108.055928, 22.925335",正大康地集团（隆安基地）,正大康地,广西金陵农牧集团有限公司旗下子公司（力源集团参股）,0.2,,,,
ytw-12,南宁市,西乡塘区,南宁市西乡塘区金陵镇学府路8号综合楼一楼2112号房,"108.119331, 23.002007",南宁金陵力源饲料有限公司,金陵力源,江西双胞胎投资有限公司旗下,1.5,,,,
ytw-13,南宁市,西乡塘区,南宁市西乡塘区双定镇兴平村坛立坡121号,"107.987354, 22.814538",南宁双胞胎星顺饲料有限公司,双胞胎星顺,主营单一饲料（淀粉渣）及有机肥料,2.4,,,,
ytw-14,南宁市,西乡塘区,南宁市西乡塘区坛洛镇金光农场,"107.968528, 22.983497",广西农垦永新畜牧集团金光有限公司,农垦金光,广西农垦永新畜牧集团旗下国有控股企业,0.8,,,,
ytw-15,南宁市,西乡塘区,南宁市西乡塘区衡阳西路11号8057室,"108.319991, 22.839676",南宁市西乡塘牧原农牧有限公司,牧原,牧原食品股份有限公司间接控股，注册地址仅限办公,1,,,,
ytw-16,南宁市,江南区,南宁市江南区旱塘路10号广西区粮油储运贸易公司中转库内,"108.275000, 22.799000",广西双胞胎饲料有限公司,广西双胞胎,同一地址内多家粮油企业，非饲料生产,1.5,,,,
ytw-17,南宁市,江南区,南宁市江南区友谊路58-2号,"108.321430, 22.777013",广西辽大农业科技集团股份有限公司,辽大,新三板上市企业（辽大股份 873293），主营畜禽与水产饲料,0.5,,,,
ytw-18,南宁市,江南区,南宁市江南区沙井大道智和新村金鸡路9号,"108.244603, 22.782309",广西九翔农牧有限责任公司,九翔,自治区农业产业化重点龙头企业,0.4,,,,
ytw-19,南宁市,江南区,南宁市吴圩镇明阳工业区师园路96号,"108.234349, 22.591261",广西百跃农牧发展有限公司,百跃,百洋产业投资集团股份有限公司全资子公司,0.7,,,,
ytw-20,南宁市,江南区,南宁市吴圩镇明凯路17号,"108.233560, 22.584794",广西华港农牧发展有限公司,华港,曾用名南宁市华港饲料有限责任公司,1.1,,,,
ytw-21,南宁市,江南区,南宁经济技术开发区金凯路25号,"108.304429, 22.773704",南宁漓源粮油饲料有限公司,南宁漓源,桂林力源粮油食品集团有限公司投资兴建,5,,,,
ytw-22,南宁市,江南区,南宁市五一西路沙井百货仓,"108.259548, 22.812307",南宁海宝路水产饲料有限公司,海宝路,隶属富丰集团，主营水产饲料,0.3,,,,
ytw-23,南宁市,江南区,南宁-东盟经济开发区宁武路78号,"108.150309, 23.215730",嘉吉饲料（南宁）有限公司,嘉吉,嘉吉公司旗下外资企业，注册资本400万美元,0.2,,,,
ytw-24,南宁市,良庆区,南宁市良庆区亮岭一街7号,"108.325442, 22.822155",南宁扬翔农牧有限公司,南宁扬翔,扬翔股份旗下，曾用名南宁瑞康农牧有限公司,2.7,,,,
ytw-25,南宁市,良庆区,中国(广西)自由贸易试验区南宁片区亮岭一街5号,"108.325442, 22.822155",南宁艾格菲饲料有限公司,艾格菲,广西汉世伟食品有限公司持股49%，通威农业发展有限公司持股51%,0.8,,,,
ytw-26,南宁市,良庆区,南宁市良庆区月湖路2号,"108.338937, 22.726624",南宁市中良神邦饲料有限公司,中良神邦,南宁市中良畜牧有限公司100%持股；注册地址在良庆区，经营地址在邕武路13-3号,0.15,,,,
ytw-27,南宁市,良庆区,南宁市良庆区月湖一街6号,"108.336261, 22.725987",广西南宁华谷农牧科技有限公司,华谷,覃启帅100%持股（自然人独资）,0.15,,,,
ytw-28,南宁市,良庆区,南宁市良庆区建业路62号,"108.336295, 22.728002",南宁正虹生物饲料有限公司,正虹,湖南正虹科技发展股份有限公司100%持股,0.1,,,,
ytw-29,南宁市,良庆区,南宁市良庆区银海大道232号,"108.352000, 22.763000",南宁正大畜牧有限公司,正大,泰国正大集团与南宁市良经委合资；2020年饲料厂已搬迁至那马镇，原厂区纳入旧城改造,1.1,,,,
ytw-30,南宁市,良庆区,中国（广西）自由贸易试验区南宁片区亮岭路4号,"108.407460, 22.822738",广西鸿牌饲料有限公司,鸿牌,广西鸿牌农牧发展有限公司持股33.33%，李昌新持股20%，陈彩然持股46.67%,0.9,,,,
ytw-31,南宁市,良庆区,南宁市良庆区建业路三街6号2栋综合楼,"108.331410, 22.762065",南宁百洋生物科技有限公司饲料分公司,百洋,百洋产业投资集团股份有限公司旗下分公司,0.6,,,,
ytw-32,南宁市,良庆区,南宁市良庆区画岭路3号,"108.407000, 22.823000",广西南宁市同盼饲料有限公司,同盼,黄飞章、李旋等自然人持股；高新技术企业,0.3,,,,
ytw-33,南宁市,邕宁区,南宁市邕宁区五象大道东段61号,"108.486000, 22.758000",南宁市广东温氏畜禽有限公司,南宁温氏,温氏食品集团股份有限公司旗下，注册资本2400万元,1.7,,,,
ytw-34,南宁市,横州市,南宁市横州市六景镇纬八路,"108.922973, 22.857743",横县漓源粮油饲料有限公司,横县漓源,南宁漓源粮油饲料有限公司100%持股（力源集团间接控股）,3,,,,
ytw-35,南宁市,横州市,南宁六景工业园区景州大道4号,"108.908000, 22.873000",广西正邦饲料有限公司,南宁正邦,江西正邦科技股份有限公司全资持股；2024年被限制高消费,1,,,,
ytw-36,南宁市,横州市,广西南宁市横县六景镇景春路与纬八路交叉口,"108.917000, 22.863000",南宁双胞胎饲料有限公司,横县双胞胎,江西双胞胎投资有限公司控股，注册资本150万元,2.5,,,,
ytw-37,南宁市,横州市,广西南宁良圻实业总公司,"109.267568, 22.685573",广西农垦良圻实业总公司泰丰饲料厂,农垦良圻,广西农垦良圻农场有限公司下属分支机构；该厂已于2003年注销,0.8,,,,
ytw-38,南宁市,兴宁区,南宁市兴宁区邕武路24号广西区畜牧研究所区域内3栋3号,"108.394000, 22.882000",南宁市振林饲料有限公司,振林饲料,隶属于广西新天地农牧集团，注册资本3000万元,0.6,,,,
